pb_company,comp_company,gvkey,tic,match_score,deal_date,deal_year,deal_size,deal_type2,pb_industry_code,pb_investors,pb_industry_sector,pb_industry_group
Integrity Bancshares,INTEGRITY BANCSHARES INC,156584,ITYCQ,100.0,01-Jun-2018,2018,188.27,Corporate Divestiture,Regional Banks,Independent Financial (Michelle Hickox),Financial Services,Commercial Banks
Integrity Bank,INTEGRA BANK CORP,19024,IBNKQ,84.61538461538461,01-Jun-2018,2018,188.27,,Regional Banks,Independent Financial (David Brooks),Financial Services,Commercial Banks
New Century Financial,NEW CENTURY FINANCIAL CORP,64991,NEWCQ,100.0,16-May-2007,2007,188.00,,Specialized Finance,Carrington Holding Company,Financial Services,Other Financial Services
Sunshine Bank,SUNSHINE BANCORP INC,21111,SBCP,82.75862068965517,01-Jan-2018,2018,187.85,,Regional Banks,CenterState Bank (John Corbett),Financial Services,Commercial Banks
Propel Financial Services,PEOPLES FINANCIAL SERVICES,66394,PFIS,90.19607843137256,09-May-2012,2012,187.55,,Consumer Finance,Encore Capital Group (NAS: ECPG),Financial Services,Other Financial Services
Incline Therapeutics,QUINCE THERAPEUTICS INC,35102,QNCX,84.84848484848484,07-Jan-2013,2013,186.70,,Drug Discovery,The Medicines Company,Healthcare,Pharmaceuticals and Biotechnology
Cavalry Bancorp,CAVALRY BANCORP INC,66672,CAVB,100.0,15-Mar-2006,2006,186.00,,Regional Banks,Pinnacle Financial Partners (NYS: PNFP) (M Turner),Financial Services,Commercial Banks
IDT Entertainment,TBA ENTERTAINMENT CORP,29728,TBA.1,88.23529411764706,01-Jan-2007,2007,186.00,Corporate Divestiture,"Movies, Music and Entertainment",Liberty Media (NAS: FWONA),Consumer Products and Services (B2C),Media
Medfinders,MINEFINDERS CORP LTD,64779,MFN,85.71428571428572,01-Sep-2010,2010,186.00,,Human Capital Services,AMN Healthcare Services (NYS: AMN),Business Products and Services (B2B),Commercial Services
YuMe,YUME INC,18271,YUME,100.0,02-Feb-2018,2018,186.00,,Media and Information Services (B2B),RhythmOne (Edward Hastings),Business Products and Services (B2B),Commercial Services
Merced Systems,MERCURY SYSTEMS INC,66393,MRCY,82.75862068965517,07-Feb-2012,2012,185.87,,Business/Productivity Software,NICE (Ra'anana) (TAE: NICE),Information Technology,Software
Sevcon,SEVCON INC,14170,SEV.4,100.0,27-Sep-2017,2017,185.70,,Electrical Equipment,BorgWarner (NYS: BWA) (James Verrier),Business Products and Services (B2B),Commercial Products
Presidio Bank,PRESIDIO BANK,175473,PDOB,100.0,11-Oct-2019,2019,185.59,,Regional Banks,Heritage Commerce (NAS: HTBK) (Walter Kaczmarek),Financial Services,Commercial Banks
