pb_company,comp_company,gvkey,tic,match_score,deal_date,deal_year,deal_size,deal_type2,pb_industry_code,pb_investors,pb_industry_sector,pb_industry_group
EnLink Midstream Partners,ENLINK MIDSTREAM PARTNERS LP,150277,ENLK,94.33962264150944,25-Jan-2019,2019,"8,600.00",,Energy Refining,"EnLink Midstream, Global Infrastructure Partners",Energy,"Exploration, Production and Refining"
BEA Systems,BEA SYSTEMS INC,64606,BEAS,100.0,29-Apr-2008,2008,"8,573.00",,Business/Productivity Software,Oracle (NYS: ORCL),Information Technology,Software
Allegheny Energy,ALLEGHENY ENERGY INC,1279,AYE,100.0,11-Feb-2010,2010,"8,500.00",Public to Private,Electric Utilities,FirstEnergy (NYS: FE) (Anthony Alexander),Energy,Utilities
Commerce Bancorp,COMMERCE BANCORP INC/NJ,16784,CBH.1,88.88888888888889,31-Mar-2008,2008,"8,500.00",,National Banks,TD Bank Group (TSE: TD),Financial Services,Commercial Banks
DCT Industrial Trust,DCT INDUSTRIAL TRUST INC,176268,DCT.1,100.0,22-Aug-2018,2018,"8,500.00",,Buildings and Property,Prologis (NYS: PLD) (Hamid Moghadam),Business Products and Services (B2B),Other Business Products and Services
MCI,MCI INC,1164,MCIP,100.0,06-Jan-2006,2006,"8,500.00",Public to Private,Telecommunications Service Providers,Verizon Communications (NYS: VZ),Information Technology,Communications and Networking
Affiliated Computer Services,AFFILIATED COMPUTER SERVICES,30697,ACS,100.0,08-Feb-2010,2010,"8,400.00",,BPO/Outsource Services,Xerox (NAS: XRX) (Ursula Burns),Business Products and Services (B2B),Commercial Services
Plum Creek Timber Company,PLUM CREEK TIMBER CO INC,15709,PCL.2,100.0,19-Feb-2016,2016,"8,400.00",,Real Estate Investment Trusts (REITs),Weyerhaeuser (NYS: WY) (Doyle Simons),Financial Services,Other Financial Services
Concur Technologies,CONCUR TECHNOLOGIES INC,116787,CNQR,100.0,04-Dec-2014,2014,"8,300.00",,Business/Productivity Software,SAP (Business/Productivity Software) (ETR: SAP) (William Mcdermott),Information Technology,Software
Corporate Capital Trust,CORPORATE CAPITAL TR INC,23985,CCT,93.02325581395348,19-Dec-2018,2018,"8,300.00",,Other Financial Services,,Financial Services,Other Financial Services
Texas Genco,TEXAS GENCO HOLDINGS INC,151829,TGN.11,100.0,02-Feb-2006,2006,"8,300.00",,Electric Utilities,NRG Energy (NYS: NRG),Energy,Utilities
FMC Technologies,FMC TECHNOLOGIES INC,142811,FTI.1,100.0,16-Jan-2017,2017,"8,200.00",,Other Equipment,TechnipFMC (NYS: FTI),Energy,Energy Equipment
Questcor Pharmaceuticals,QUESTCOR PHARMACEUTICALS INC,25906,QCOR,100.0,15-Aug-2014,2014,"8,177.80",,Pharmaceuticals,Mallinckrodt Pharmaceuticals (Mark Trudeau),Healthcare,Pharmaceuticals and Biotechnology
Pacificare Health Systems,PACIFICARE HEALTH SYSTEMS,12126,PHS,100.0,06-Jul-2005,2005,"8,140.00",,Managed Care,UnitedHealth Group (NYS: UNH) (William Mcguire),Healthcare,Healthcare Services
IndCor Properties,CRT PROPERTIES INC,14791,CRO.4,83.87096774193549,27-Feb-2015,2015,"8,100.00",,Buildings and Property,"GIC Private, GLP",Business Products and Services (B2B),Other Business Products and Services
Hillshire Brands,HILLSHIRE BRANDS CO,9411,HSH,91.42857142857143,28-Aug-2014,2014,"8,081.00",,Food Products,Tyson Foods (Food Products) (NYS: TSN) (Donnie King),Consumer Products and Services (B2C),Consumer Non-Durables
Southern Company Gas,SOUTHERN CO GAS,1837,SO7,100.0,01-Jul-2016,2016,"8,000.00",,Gas Utilities,Southern Company (NYS: SO) (James Kerr),Energy,Utilities
Yadkin Financial,YADKIN FINANCIAL CORP,122515,YDKN,100.0,11-Mar-2017,2017,"7,999.34",,National Banks,First National Bank (National Banks) (NYS: FNB) (Vincent Delie),Financial Services,Commercial Banks
Mandalay Resort Group,MANDALAY RESORT GROUP,3063,MBG.2,100.0,25-Apr-2005,2005,"7,900.00",,Casinos and Gaming,MGM Resorts International (NYS: MGM),Consumer Products and Services (B2C),"Restaurants, Hotels and Leisure"
Rice Energy,RICE ENERGY INC,19377,RICE.,100.0,13-Nov-2017,2017,"7,783.53",,Energy Exploration,EQT Production Company (NYS: EQT) (Steven Schlotterbeck),Energy,"Exploration, Production and Refining"
Arris International,ARRIS INTERNATIONAL PLC,28853,ARRS,100.0,04-Apr-2019,2019,"7,700.00",,Telecommunications Service Providers,CommScope Holding Company (NAS: VISN) (Marvin Edwards),Information Technology,Communications and Networking
McAfee,MCAFEE INC,25783,MFE,100.0,01-Aug-2010,2010,"7,680.00",Public to Private,Network Management Software,Intel (NAS: INTC),Information Technology,Software
Receptos,RECEPTOS INC,17688,RCPT,100.0,27-Aug-2015,2015,"7,626.00",,Drug Discovery,Celgene (Robert Hugin),Healthcare,Pharmaceuticals and Biotechnology
Nationwide Health Properties,NATIONWIDE HEALTH PPTYS INC,13124,NHP,86.27450980392157,01-Jul-2011,2011,"7,600.00",,Real Estate Investment Trusts (REITs),Ventas (NYS: VTR) (Debra Cafaro),Financial Services,Other Financial Services
RSP Permian,RSP PERMIAN INC,19171,RSPP,100.0,19-Jul-2018,2018,"7,561.77",,Energy Exploration,Concho Resources (Timothy Leach),Energy,"Exploration, Production and Refining"
Crestwood Equity Partners,CRESTWOOD EQUITY PARTNERS LP,162894,CEQP,94.33962264150944,07-Oct-2013,2013,"7,500.00",,Energy Exploration,,Energy,"Exploration, Production and Refining"
Tokio Marine,TOKIO MARINE HOLDINGS INC,15659,TKOMY,100.0,27-Oct-2015,2015,"7,500.00",,Property and Casualty Insurance,Tokio Marine Holdings (TKS: 8766),Financial Services,Insurance
Aircastle,AIRCASTLE LTD,175110,AYR,100.0,27-Mar-2020,2020,"7,400.00",Public to Private,Air,"Marubeni (TKS: 8002) (Masumi Kakinoki), Mizuho Leasing Company (TKS: 8425)",Business Products and Services (B2B),Commercial Transportation
IVAX,IVAX CORP,14446,IVX.2,100.0,26-Jan-2006,2006,"7,400.00",,Pharmaceuticals,Teva Pharmaceutical Industries (TAE: TEVA) (Israel Makov),Healthcare,Pharmaceuticals and Biotechnology
Pixar,PIXAR,61627,PIXR,100.0,05-May-2006,2006,"7,400.00",,"Movies, Music and Entertainment",The Walt Disney (NYS: DIS),Consumer Products and Services (B2C),Media
Pride International,PRIDE INTERNATIONAL INC,14908,PDE,100.0,31-May-2011,2011,"7,400.00",,Energy Exploration,Valaris (NYS: VAL) (Daniel Rabun),Energy,"Exploration, Production and Refining"
WABCO,WABCO HOLDINGS INC,177925,WBC,100.0,29-May-2020,2020,"7,400.00",Public to Private,Distributors/Wholesale,ZF Friedrichshafen (Wolf-Henning Scheider),Business Products and Services (B2B),Commercial Products
Patheon,PATHEON NV,19985,PTHN,82.35294117647058,29-Aug-2017,2017,"7,358.00",,Other Pharmaceuticals and Biotechnology,Thermo Fisher Scientific (NYS: TMO) (Marc Casper),Healthcare,Pharmaceuticals and Biotechnology
Health Management Associates,HEALTH MANAGEMENT ASSOC,12338,HMA.2,90.19607843137256,27-Jan-2014,2014,"7,300.00",,Practice Management (Healthcare),Community Health Systems (Franklin) (NYS: CYH) (Wayne Smith),Healthcare,Healthcare Services
Tw Telecom,TW TELECOM INC,120359,TWTC,100.0,31-Oct-2014,2014,"7,300.00",,Telecommunications Service Providers,Level 3 Communications (Jeffrey Storey),Information Technology,Communications and Networking
Sun Microsystems,SUN MICROSYSTEMS INC,12136,JAVA.1,100.0,26-Jan-2010,2010,"7,295.00",,Storage (IT),Oracle (NYS: ORCL) (Safra Catz),Information Technology,Computer Hardware
Antero Midstream Partners,ANTERO MIDSTREAM PARTNERS LP,19770,AM.2,94.33962264150944,09-Oct-2018,2018,"7,200.00",,Energy Infrastructure,Antero Midstream (NYS: AM),Energy,Energy Services
Trizec Properties,TRIZEC PROPERTIES INC,15123,TRZ,100.0,05-Oct-2006,2006,"7,200.00",,Real Estate Investment Trusts (REITs),"Blackstone (NYS: BX) (Jonathan Gray), Brookfield Properties",Financial Services,Other Financial Services
Grant Prideco,GRANT PRIDECO INC,133170,GRP.,100.0,21-Apr-2008,2008,"7,198.60",,Oil and Gas Equipment,NOV (NYS: NOV),Energy,Energy Equipment
Tribune Media,TRIBUNE MEDIA CO,10726,TRCO,89.65517241379311,19-Sep-2019,2019,"7,187.00",,"Broadcasting, Radio and Television",Nexstar Media Group (NAS: NXST) (Perry Sook),Consumer Products and Services (B2C),Media
Mellanox Technologies,MELLANOX TECHNOLOGIES LTD,176363,MLNX,100.0,27-Apr-2020,2020,"7,134.00",,Connectivity Products,Nvidia (NAS: NVDA) (Jen-Hsun Huang),Information Technology,Communications and Networking
Alere,ALERE INC,146156,ALR.,100.0,03-Oct-2017,2017,"7,100.00",Corporate Divestiture,Diagnostic Equipment,Abbott (NYS: ABT) (Miles White),Healthcare,Healthcare Devices and Supplies
Premcor USA,PREMCOR USA INC,121034,9734B,100.0,01-Sep-2005,2005,"7,093.61",Public to Private,Energy Refining,Valero Energy (NYS: VLO) (William Greehey),Energy,"Exploration, Production and Refining"
Arc Products,ACORN PRODUCTS INC,64964,ACRN,84.61538461538461,31-Jan-2011,2011,"7,086.00",,Other Commercial Products,The Lincoln Electric Company (NAS: LECO) (John Stropki),Business Products and Services (B2B),Commercial Products
WGL Holdings,WGL HOLDINGS INC,11296,WGL,100.0,06-Jul-2018,2018,"7,065.07",,Energy Transportation,AltaGas (TSE: ALA) (David Harris),Energy,Energy Services
Dade Behring,DADE BEHRING HOLDINGS INC,151016,DADE,100.0,07-Nov-2007,2007,"7,000.00",Public to Private,Medical Supplies,Siemens Healthineers (ETR: SHL) (Erich Reinhardt),Healthcare,Healthcare Devices and Supplies
Pepco Holdings,PEPCO HOLDINGS INC,8694,POM.2,100.0,23-Mar-2016,2016,"7,000.00",,Holding Companies,Exelon (NAS: EXC) (Christopher Crane),Financial Services,Other Financial Services
USG,USG CORP,10816,USG.1,100.0,24-Apr-2019,2019,"7,000.00",Public to Private,Building Products,Gebr. Knauf (Alexander Knauf),Business Products and Services (B2B),Commercial Products
Loxo Oncology,LOXO ONCOLOGY INC,21016,LOXO,100.0,15-Feb-2019,2019,"6,920.00",,Drug Discovery,Eli Lilly (NYS: LLY) (David Ricks),Healthcare,Pharmaceuticals and Biotechnology
BJ Services,BJ SERVICES CO,22794,BJS.1,88.0,28-Apr-2010,2010,"6,897.00",,Construction and Engineering,Baker Hughes (NAS: BKR) (Chadwick Deaton),Business Products and Services (B2B),Commercial Services
A. G. Edwards,EDWARDS (A G) INC,4230,AGE.1,91.66666666666666,01-Oct-2007,2007,"6,800.00",,Brokerage,Wachovia Bank,Financial Services,Capital Markets/Institutions
Bemis Company,BEMIS CO INC,2154,BMS,100.0,11-Jun-2019,2019,"6,800.00",,Plastic Containers and Packaging,Amcor (NYS: AMCR) (Ronald Delia),Materials and Resources,Containers and Packaging
Cephalon,CEPHALON INC,23945,CEPH,100.0,14-Oct-2011,2011,"6,800.00",,Pharmaceuticals,Teva Pharmaceutical Industries (TAE: TEVA),Healthcare,Pharmaceuticals and Biotechnology
GE Insurance Solutions,INSURANCE MGMT SOLUTIONS GRP,118266,3INMG.,84.0,12-Jun-2006,2006,"6,800.00",Corporate Divestiture,Re-Insurance,Swiss Re (SWX: SREN) (John Coomber),Financial Services,Insurance
Ports America,POTASH AMERICA INC,180436,PTAM,88.88888888888889,29-Nov-2005,2005,"6,800.00",,Marine,DP World (Mohammed Sharaf),Business Products and Services (B2B),Commercial Transportation
Scana,SCANA CORP,9445,SCG,100.0,01-Jan-2019,2019,"6,800.00",,Multi-Utilities,Dominion Energy (NYS: D) (Thomas Farrell),Energy,Utilities
Triad Hospitals,TRIAD HOSPITALS INC,120302,TRI.Z,100.0,25-Jul-2007,2007,"6,800.00",,Hospitals/Inpatient Services,Community Health Systems (Franklin) (NYS: CYH),Healthcare,Healthcare Services
B/E Aerospace,B/E AEROSPACE INC,21487,BEAV,100.0,13-Apr-2017,2017,"6,700.00",,Aerospace and Defense,Collins Aerospace (Robert Ortberg),Business Products and Services (B2B),Commercial Products
Dresser-Rand Group,DRESSER-RAND GROUP INC,163948,DRC,100.0,30-Jun-2015,2015,"6,669.94",,Electrical Equipment,Siemens (ETR: SIE) (Josef Kaeser),Business Products and Services (B2B),Commercial Products
Mobile Mini,MOBILE MINI INC,29734,MINI,100.0,01-Jul-2020,2020,"6,600.00",,Metal Containers and Packaging,WillScot Mobile Mini Holdings (NAS: WSC) (Bradley Soultz),Materials and Resources,Containers and Packaging
UTi Worldwide,UTI WORLDWIDE INC,141001,UTIW,100.0,22-Jan-2016,2016,"6,588.00",,Logistics,DSV (CSE: DSV) (Jens Andersen),Business Products and Services (B2B),Commercial Services
National Semiconductor,NATIONAL SEMICONDUCTOR CORP,7772,NSM.2,100.0,23-Sep-2011,2011,"6,560.00",,General Purpose Semiconductors,Texas Instruments (NAS: TXN) (Richard Templeton),Information Technology,Semiconductors
Fox Entertainment Group,FOX ENTERTAINMENT GROUP INC,115872,FOX.3,100.0,23-Mar-2005,2005,"6,550.00",,"Broadcasting, Radio and Television",News Corp (NAS: NWSA),Consumer Products and Services (B2C),Media
LSI,LSI CORP,6529,LSI.1,100.0,06-May-2014,2014,"6,518.00",,Production (Semiconductors),Broadcom (General Purpose Semiconductors) (NAS: AVGO) (Hock Tan),Information Technology,Semiconductors
Dyax,DYAX CORP,112754,DYAX,100.0,22-Jan-2016,2016,"6,500.00",,Drug Discovery,Shire,Healthcare,Pharmaceuticals and Biotechnology
ImClone Systems,IMCLONE SYSTEMS INC,24699,IMCL.1,100.0,24-Nov-2008,2008,"6,500.00",,Drug Discovery,Eli Lilly (NYS: LLY) (John Lechleiter),Healthcare,Pharmaceuticals and Biotechnology
Legg Mason,LEGG MASON INC,6653,LM,100.0,31-Jul-2020,2020,"6,500.00",,Asset Management,Franklin Resources (NYS: BEN) (Jennifer Johnson),Financial Services,Capital Markets/Institutions
Providian Financial,PROVIDIAN FINANCIAL CORP,2731,PVN,100.0,01-Oct-2005,2005,"6,500.00",,Other Financial Services,Mr. Cooper Group (Kerry Killinger),Financial Services,Other Financial Services
Strategic Hotels & Resorts,STRATEGIC HOTELS & RESORTS,260779,BEE,100.0,29-Sep-2016,2016,"6,500.00",,Hotels and Resorts,Anbang Insurance Group Company (Philip Yee),Consumer Products and Services (B2C),"Restaurants, Hotels and Leisure"
Wellchoice,WELLCHOICE INC,150397,WC,100.0,01-Dec-2005,2005,"6,500.00",,Managed Care,Elevance Health (NYS: ELV),Healthcare,Healthcare Services
Western Wireless,WESTERN WIRELESS CORP  -CL A,62929,WWCA.,84.21052631578947,01-Aug-2005,2005,"6,500.00",Public to Private,Telecommunications Service Providers,Alltel,Information Technology,Communications and Networking
Gulf Power,GULF POWER CO,5385,SO3,86.95652173913044,01-Jan-2019,2019,"6,480.00",,Electric Utilities,NextEra Energy (NYS: NEE) (James Robo),Energy,Utilities
MuleSoft,MULESOFT INC,30535,MULE,100.0,01-May-2018,2018,"6,425.00",,Business/Productivity Software,Salesforce (NYS: CRM) (Marc Benioff),Information Technology,Software
Applied Biosystems,APPLIED BIOSYSTEMS INC,8488,ABI.3,100.0,21-Nov-2008,2008,"6,400.00",Corporate Divestiture,Diagnostic Equipment,Invitrogen (Amanda Clardy),Healthcare,Healthcare Devices and Supplies
Cytec Industries,CYTEC INDUSTRIES INC,29511,CYT.1,100.0,01-Jan-2015,2015,"6,400.00",,Other Chemicals and Gases,Solvay (BRU: SOLB) (Jean-Pierre Clamadieu),Materials and Resources,Chemicals and Gases
Swift Transportation,SWIFT TRANSPORTATION CO INC,22532,SWFT.1,100.0,10-May-2017,2017,"6,400.00",,Road,Knight-Swift Transportation Holdings (NYS: KNX) (Kevin Knight),Business Products and Services (B2B),Commercial Transportation
Medidata Solutions,MEDIDATA SOLUTIONS INC,182308,MDSO,100.0,28-Oct-2019,2019,"6,398.01",,Medical Records Systems,Dassault Systemes (PAR: DSY) (Bernard Charles),Healthcare,Healthcare Technology Systems
Sirona Dental Systems,SIRONA DENTAL SYSTEMS INC,174876,SIRO,100.0,29-Feb-2016,2016,"6,256.20",Corporate Divestiture,Diagnostic Equipment,Dentsply Sirona (NAS: XRAY) (Bret Wise),Healthcare,Healthcare Devices and Supplies
DuPont Fabros Technology,DUPONT FABROS TECHNOLOGY INC,178610,DFT,100.0,14-Sep-2017,2017,"6,200.00",,Systems and Information Management,Digital Realty (NYS: DLR),Information Technology,IT Services
Safeco,SAFECO CORP,9351,SAF.3,100.0,24-Sep-2008,2008,"6,200.00",,Property and Casualty Insurance,Liberty Mutual Insurance Company (Edmund Kelly),Financial Services,Insurance
Cavium,CAVIUM INC,177225,CAVM,100.0,06-Jul-2018,2018,"6,161.79",,Production (Semiconductors),Marvell Technology (NAS: MRVL),Information Technology,Semiconductors
Cytyc,CYTYC CORP,62336,CYTC,100.0,22-Oct-2007,2007,"6,156.90",,Diagnostic Equipment,Hologic (NAS: HOLX) (Jack Cumming),Healthcare,Healthcare Devices and Supplies
Covance,COVANCE INC,64162,CVD,100.0,19-Feb-2015,2015,"6,150.70",,Other Pharmaceuticals and Biotechnology,Laboratory Corporation of America (NYS: LH) (David King),Healthcare,Pharmaceuticals and Biotechnology
Momenta Pharmaceuticals,MOMENTA PHARMACEUTICALS INC,264414,MNTA,100.0,01-Oct-2020,2020,"6,100.00",,Drug Discovery,Johnson & Johnson (NYS: JNJ) (Jennifer Taubert),Healthcare,Pharmaceuticals and Biotechnology
Reckson Associates Realty,RECKSON ASSOCS REALTY CORP,31858,RA.1,91.30434782608697,25-Jan-2007,2007,"6,000.00",,Buildings and Property,SL Green Realty (NYS: SLG) (Marc Holliday),Business Products and Services (B2B),Other Business Products and Services
The Pepsi Bottling Group,PEPSI BOTTLING GROUP INC,119417,PBG,87.5,26-Feb-2010,2010,"6,000.00",,Beverages,Pepsico (NAS: PEP) (Indra Nooyi),Consumer Products and Services (B2C),Consumer Non-Durables
Vectren,VECTREN CORP,5918,VVC,100.0,01-Feb-2019,2019,"6,000.00",,Holding Companies,CenterPoint Energy (NYS: CNP) (Scott Prochazka),Financial Services,Other Financial Services
Access Midstream Partners,ACCESS MIDSTREAM PARTNERS LP,184321,ACMP,94.33962264150944,01-Jul-2014,2014,"5,990.00",,Energy Transportation,Williams Companies (NYS: WMB) (Alan Armstrong),Energy,Energy Services
Athlon Energy,ATHLON ENERGY INC,18443,ATHL,100.0,13-Nov-2014,2014,"5,964.00",,Energy Production,Ovintiv (NYS: OVV) (Douglas Suttles),Energy,"Exploration, Production and Refining"
Kapstone Paper and Packaging,KAPSTONE PAPER & PACKAGING,164680,KS,92.5925925925926,02-Nov-2018,2018,"5,926.00",,Paper Containers and Packaging,WestRock (Steven Voorhees),Materials and Resources,Containers and Packaging
Siebel Systems,SIEBEL SYSTEMS INC,63180,SEBL,100.0,31-Jan-2006,2006,"5,850.00",,Business/Productivity Software,Oracle (NYS: ORCL) (Lawrence Ellison),Information Technology,Software
Interactive Data,INTEGRATED DATA CORP,24048,ITDD.1,83.87096774193549,14-Dec-2015,2015,"5,800.00",,Other Financial Services,Intercontinental Exchange (NYS: ICE) (Jeffrey Sprecher),Financial Services,Other Financial Services
Regal Entertainment Group,REGAL ENTERTAINMENT GROUP,147638,RGC.1,100.0,28-Feb-2018,2018,"5,800.00",Public to Private,"Movies, Music and Entertainment",Cineworld Group (Moshe Greidinger),Consumer Products and Services (B2C),Media
Sybase,SYBASE INC,24409,SY.3,100.0,26-Jul-2010,2010,"5,800.00",,Media and Information Services (B2B),SAP (Business/Productivity Software) (ETR: SAP) (Vishal Sikka),Business Products and Services (B2B),Commercial Services
APC,AHPC HOLDINGS INC,14886,GLOV.1,85.71428571428572,14-Feb-2007,2007,"5,776.83",,Electrical Equipment,Schneider Electric (Electrical Equipment) (PAR: SU) (Jean-Pascal Tricoire),Business Products and Services (B2B),Commercial Products
Teppco Partners,TEPPCO PARTNERS  -LP,20909,TPP.1,88.23529411764706,26-Oct-2009,2009,"5,769.79",,Energy Transportation,Enterprise Products Partners (NYS: EPD),Energy,Energy Services
Global Signal,GLOBAL SIGNAL INC,160596,GSL.1,100.0,12-Jan-2007,2007,"5,755.42",,Real Estate Investment Trusts (REITs),Crown Castle International (NYS: CCI),Financial Services,Other Financial Services
Novelis,NOVELIS INC,162701,HND1,100.0,15-May-2007,2007,"5,753.07",,Aluminum Mining,Hindalco Industries (NSE: HINDALCO) (Kumar Mangalam Birla),Materials and Resources,"Metals, Minerals and Mining"
Versum Materials,VERSUM MATERIALS INC,26709,VSM,100.0,07-Oct-2019,2019,"5,721.62",,Specialty Chemicals,Merck (ETR: MRK) (Stefan Oschmann),Materials and Resources,Chemicals and Gases
Protective Life,PROTECTIVE LIFE CORP,8789,PL.,100.0,01-Feb-2015,2015,"5,700.00",,Life and Health Insurance,The Dai-Ichi Life Insurance Company (TKS: 8750) (Koichiro Watanabe),Financial Services,Insurance
Rockwood Holdings,ROCKWOOD HOLDINGS INC,162957,ROC.3,100.0,12-Jan-2015,2015,"5,700.00",Corporate Divestiture,Specialty Chemicals,Albemarle (NYS: ALB) (Luther Kissam),Materials and Resources,Chemicals and Gases
